,pattern,scrap (mm)
0,[409],0
1,[409],0
2,[409],0
3,[409],0
4,[409],0
5,[409],0
6,[409],0
7,[409],0
8,[409],0
9,[409],0
10,[409],0
11,[409],0
12,[409],0
13,[409],0
14,[409],0
15,[409],0
16,"[439, 412]",150
17,"[439, 406]",750
18,"[439, 412]",150
19,"[439, 406]",750
20,"[439, 437]",850
21,"[439, 410]",0
22,"[439, 410]",0
23,"[439, 410]",0
24,"[439, 412]",150
25,"[439, 412]",150
26,"[439, 406]",750
27,"[439, 406]",750
28,"[439, 410]",0
29,"[439, 412]",150
30,"[418, 410]",0
31,"[418, 410]",0
32,"[404, 405, 431]",0
33,"[404, 420, 424]",150
34,"[404, 405, 415]",0
35,"[404, 410]",200
36,"[404, 411, 425]",150
37,"[404, 405, 431]",0
38,"[404, 405, 416]",0
39,"[404, 437, 430]",0
40,"[404, 405, 431]",0
41,"[404, 412]",350
42,"[404, 408, 430]",0
43,"[404, 405, 415]",0
44,"[404, 405, 431]",0
45,"[404, 406]",950
46,"[404, 406]",950
47,"[404, 405, 431]",0
48,"[404, 410]",200
49,"[404, 405, 431]",0
50,"[404, 405, 416]",0
51,"[404, 405, 431]",0
52,"[404, 405, 431]",0
53,"[404, 405, 431]",0
54,"[404, 411, 430]",150
55,"[404, 412]",350
56,"[404, 405, 415]",0
57,"[404, 412]",350
58,"[404, 405, 415]",0
59,"[404, 437, 430]",0
60,"[404, 405, 416]",0
61,"[404, 412]",350
62,"[404, 405, 431]",0
63,"[404, 406]",950
64,"[404, 410]",200
65,"[404, 406]",950
66,"[404, 405, 415]",0
67,"[404, 406]",950
68,"[404, 412]",350
69,"[404, 405, 416]",0
70,"[404, 405, 431]",0
71,"[404, 437, 430]",0
72,"[404, 412]",350
73,"[404, 406]",950
74,"[404, 437, 430]",0
75,"[404, 437]",1050
76,"[404, 412]",350
77,"[404, 412]",350
78,"[404, 420, 430]",150
79,"[404, 412]",350
80,"[419, 410]",200
81,"[419, 405, 416]",0
82,"[419, 405, 416]",0
83,"[419, 405, 430]",200
84,"[419, 420, 430]",150
85,"[419, 408, 424]",0
86,"[433, 423]",0
87,"[433, 423]",0
88,"[433, 423]",0
89,"[433, 411, 416]",150
90,"[433, 423]",0
91,"[433, 423]",0
92,"[433, 412]",550
93,"[433, 423]",0
94,"[433, 423]",0
95,"[433, 423]",0
96,"[433, 423]",0
97,"[433, 423]",0
98,"[433, 423]",0
99,"[433, 423]",0
100,"[433, 420, 431]",150
101,"[433, 423]",0
102,"[433, 423]",0
103,"[433, 420, 428]",100
104,"[433, 423]",0
105,"[433, 423]",0
106,"[433, 411, 429]",100
107,"[433, 423]",0
108,"[433, 423]",0
109,"[433, 423]",0
110,"[435, 427]",750
111,"[435, 427]",750
112,"[435, 427]",750
113,"[435, 426]",550
114,"[435, 436]",700
115,"[435, 426]",550
116,"[435, 436]",700
117,"[435, 436]",700
118,"[435, 427]",750
119,"[435, 426]",550
120,"[435, 426]",550
121,"[435, 426]",550
122,"[435, 426]",550
123,"[435, 426]",550
124,"[435, 426]",550
125,"[435, 427]",750
126,"[435, 426]",550
127,"[435, 426]",550
128,"[435, 426]",550
129,"[435, 426]",550
130,"[435, 426]",550
131,"[435, 426]",550
132,"[435, 426]",550
133,"[435, 426]",550
134,"[417, 427, 411]",200
135,"[417, 427, 420]",200
136,"[417, 417]",600
137,"[402, 402, 430]",150
142,"[407, 407, 428]",200
143,"[434, 434, 415]",50
144,"[434, 434]",1300
145,"[402, 407, 428]",50
146,"[417, 427, 405]",250
148,"[434, 434, 428]",0
149,"[407, 407, 429]",200
153,"[427, 427, 423]",50
155,"[402, 407, 429]",50
156,"[434, 434, 429]",0
157,"[427, 427, 420, 429]",150
158,"[436, 436, 411, 431]",100
159,"[402, 402]",1200
160,"[436, 436, 412]",500
161,"[407, 407, 431]",250
165,"[407, 407, 428]",200
166,"[434, 427, 406]",300
167,"[402, 402]",1200
169,"[402, 426, 406]",50
170,"[402, 436, 411]",450
171,"[436, 436, 405, 429]",100
174,"[417, 417]",600
175,"[426, 427, 406]",1000
176,"[413, 427, 411]",250
179,"[427, 427, 411, 428]",150
181,"[436, 436, 421, 428]",150
182,"[413, 413]",700
183,"[427, 427, 406]",1200
184,"[402, 402, 430]",150
187,"[402, 434]",1250
188,"[434, 434, 428]",0
191,"[417, 417]",600
192,"[407, 407, 428]",200
194,"[434, 434, 428]",0
195,"[407, 407, 429]",200
196,"[402, 402, 430]",150
199,"[417, 417]",600
200,"[407, 407, 428]",200
204,"[413, 413]",700
205,"[413, 413]",700
207,"[427, 427, 411, 429]",150
209,"[434, 434, 431]",50
210,"[434, 434, 416]",50
212,"[427, 427, 406]",1200
213,"[427, 427, 411, 429]",150
217,"[436, 436, 406, 425]",50
219,"[427, 427, 411, 429]",150
220,"[427, 422, 422]",50
222,"[407, 427, 406]",400
223,"[434, 427, 406]",300
224,"[402, 402, 430]",150
227,"[402, 427, 411]",500
229,"[413, 413]",700
230,"[436, 436, 421, 429]",150
231,"[402, 436, 406]",200
232,"[407, 407, 416]",250
234,"[402, 427, 406]",250
236,"[402, 407, 428]",50
237,"[402, 407, 428]",50
238,"[402, 402, 430]",150
239,"[407, 426, 406]",200
242,"[427, 427, 423]",50
243,"[402, 434, 415]",0
245,"[402, 402]",1200
248,"[402, 407, 415]",100
249,"[427, 427, 437, 415]",50
251,"[402, 420, 420, 420]",650
252,"[417, 417]",600
253,"[402, 427, 406]",250
254,"[417, 417]",600
256,"[402, 407, 429]",50
258,"[417, 417]",600
259,"[402, 427, 406]",250
263,"[407, 407, 429]",200
264,"[417, 417]",600
265,"[402, 427, 406]",250
266,"[434, 434, 429]",0
267,"[402, 402, 430]",150
268,"[417, 417]",600
269,"[402, 407, 428]",50
271,"[402, 407, 416]",100
273,"[434, 407, 415]",150
274,"[417, 402]",900
276,"[434, 426, 406]",100
277,"[407, 407, 429]",200
278,"[417, 427, 437]",50
279,"[436, 436, 405, 428]",100
281,"[427, 427, 411, 428]",150
283,"[427, 427, 423]",50
284,"[427, 427, 423]",50
285,"[417, 436, 411]",150
286,"[436, 436, 411, 429]",50
287,"[402, 402]",1200
289,"[402, 407, 431]",100
292,"[427, 427, 423]",50
293,"[436, 436, 406]",1100
294,"[402, 402]",1200
296,"[413, 402]",950
298,"[402, 402]",1200
299,"[402, 402, 430]",150
